,Name,Author,Genre,Price
60,Difficult Riddles For Smart Kids: 300 Difficult Riddles And Brain Teasers Families Will Love (Books for Smart Kids),M Prefontaine,Non Fiction,5.0
23,Arguing with Idiots: How to Stop Small Minds and Big Government,Glenn Beck,Non Fiction,5.0
53,Dear Zoo: A Lift-the-Flap Book,Rod Campbell,Fiction,5.0
73,Dover Creative Haven Art Nouveau Animal Designs Coloring Book (Creative Haven Coloring Books),Marty Noble,Non Fiction,5.0
36,"Brown Bear, Brown Bear, What Do You See?",Bill Martin Jr.,Fiction,5.0
26,Baby Touch and Feel: Animals,DK,Non Fiction,5.0
94,Game of Thrones Boxed Set: A Game of Thrones/A Clash of Kings/A Storm of Swords/A Feast for Crows,George R.R. Martin,Fiction,5.0
310,The Very Hungry Caterpillar,Eric Carle,Fiction,5.0
186,P is for Potty! (Sesame Street) (Lift-the-Flap),Naomi Kleinberg,Non Fiction,5.0
274,The Magnolia Story,Chip Gaines,Non Fiction,5.0
250,The Going-To-Bed Book,Sandra Boynton,Fiction,5.0
163,Love You Forever,Robert Munsch,Fiction,5.0
147,Killing Reagan: The Violent Assault That Changed a Presidency (Bill O'Reilly's Killing Series),Bill O'Reilly,Non Fiction,5.0
107,Goodnight Moon,Margaret Wise Brown,Fiction,5.0
289,The Pout-Pout Fish,Deborah Diesen,Fiction,5.0
313,The Wonky Donkey,Craig Smith,Fiction,4.0
132,If Animals Kissed Good Night,Ann Whitford Paul,Fiction,4.0
192,Puppy Birthday to You! (Paw Patrol) (Little Golden Book),Golden Books,Fiction,4.0
14,"Adult Coloring Book Designs: Stress Relief Coloring Book: Garden Designs, Mandalas, Animals, and Paisley Patterns",Adult Coloring Book Designs,Non Fiction,4.0
152,Laugh-Out-Loud Jokes for Kids,Rob Elliott,Non Fiction,4.0
150,Knock-Knock Jokes for Kids,Rob Elliott,Non Fiction,4.0
38,Calm the F*ck Down: An Irreverent Adult Coloring Book (Irreverent Book Series),Sasha O'Hara,Non Fiction,4.0
331,Unicorn Coloring Book: For Kids Ages 4-8 (US Edition) (Silly Bear Coloring Books),Silly Bear,Non Fiction,4.0
45,Creative Haven Creative Cats Coloring Book (Adult Coloring),Marjorie Sarnat,Non Fiction,4.0
50,Dead And Gone: A Sookie Stackhouse Novel (Sookie Stackhouse/True Blood),Charlaine Harris,Fiction,4.0
51,"Dead Reckoning (Sookie Stackhouse/True Blood, Book 11)",Charlaine Harris,Fiction,4.0
68,Dog Man: Brawl of the Wild: From the Creator of Captain Underpants (Dog Man #6),Dav Pilkey,Fiction,4.0
90,First 100 Words,Roger Priddy,Non Fiction,4.0
97,Giraffes Can't Dance,Giles Andreae,Fiction,4.0
121,Have a Little Faith: A True Story,Mitch Albom,Non Fiction,4.0
8,"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,Non Fiction,3.0
187,Percy Jackson and the Olympians Paperback Boxed Set (Books 1-3),Rick Riordan,Fiction,2.0
84,Fear: Trump in the White House,Bob Woodward,Non Fiction,2.0
10,A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,Non Fiction,2.0
249,The Girl with the Dragon Tattoo (Millennium Series),Stieg Larsson,Fiction,2.0
322,To Kill a Mockingbird,Harper Lee,Fiction,1.4
75,Eat This Not That! Supermarket Survival Guide: The No-Diet Weight Loss Solution,David Zinczenko,Non Fiction,1.0
37,"Cabin Fever (Diary of a Wimpy Kid, Book 6)",Jeff Kinney,Fiction,0.0
57,"Diary of a Wimpy Kid: Hard Luck, Book 8",Jeff Kinney,Fiction,0.0
297,The Short Second Life of Bree Tanner: An Eclipse Novella (The Twilight Saga),Stephenie Meyer,Fiction,0.0
159,Little Blue Truck,Alice Schertle,Fiction,0.0
92,Frozen (Little Golden Book),RH Disney,Fiction,0.0
139,JOURNEY TO THE ICE P,RH Disney,Fiction,0.0
235,The Constitution of the United States,Delegates of the Constitutional,Non Fiction,0.0
244,The Getaway,Jeff Kinney,Fiction,0.0
