,Name,Author,Genre,Price
284,"The Pioneer Woman Cooks: A Year of Holidays: 140 Step-by-Step Recipes for Simple, Scrumptious Celebrations",Ree Drummond,Non Fiction,17.0
142,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,David Grann,Non Fiction,17.0
223,The Big Short: Inside the Doomsday Machine,Michael Lewis,Non Fiction,17.0
54,Decision Points,George W. Bush,Non Fiction,17.0
288,"The Plant Paradox: The Hidden Dangers in ""Healthy"" Foods That Cause Disease and Weight Gain",Dr. Steven R Gundry MD,Non Fiction,17.0
206,"Soul Healing Miracles: Ancient and New Sacred Wisdom, Knowledge, and Practical Techniques for Healing the Spiritual…",Zhi Gang Sha,Non Fiction,17.0
128,Humans of New York : Stories,Brandon Stanton,Non Fiction,17.0
13,"Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,Non Fiction,17.0
164,Magnolia Table: A Collection of Recipes for Gathering,Joanna Gaines,Non Fiction,16.0
283,The Paris Wife: A Novel,Paula McLain,Fiction,16.0
172,"National Geographic Kids Why?: Over 1,111 Answers to Everything",Crispin Boyer,Non Fiction,16.0
203,Ship of Fools: How a Selfish Ruling Class Is Bringing America to the Brink of Revolution,Tucker Carlson,Non Fiction,16.0
126,Howard Stern Comes Again,Howard Stern,Non Fiction,16.0
96,George Washington's Secret Six: The Spy Ring That Saved the American Revolution,Brian Kilmeade,Non Fiction,16.0
247,The Girl Who Played with Fire (Millennium),Stieg Larsson,Fiction,16.0
42,Cravings: Recipes for All the Food You Want to Eat: A Cookbook,Chrissy Teigen,Non Fiction,16.0
311,The Whole30: The 30-Day Guide to Total Health and Food Freedom,Melissa Hartwig Urban,Non Fiction,16.0
74,Drive: The Surprising Truth About What Motivates Us,Daniel H. Pink,Non Fiction,16.0
314,The Wright Brothers,David McCullough,Non Fiction,16.0
328,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,Non Fiction,15.4
